Acanthoceras zachariasii,Amphidinium,Anabaena,Anathece clathrata,Anathece minutissima,Ankistrodesmus,Ankyra,Ankyra lanceolata,Aphanizomenon flosaquae,Aphanocapsa,Aphanocapsa delicatissima,Aphanocapsa holsatica s.lat.,Aphanothece,Asterionella formosa,Aulacoseira,Aulacoseira alpigena,Aulacoseira ambigua,Aulacoseira distans,Aulacoseira distans s.lat.,Aulacoseira granulata,Aulacoseira granulata var. angustissima,Aulacoseira islandica,Aulacoseira pseudodistans,Aulacoseira subarctica,Aulacoseira tenella,Aulomonas purdyi,Bacillariophyceae,Bicosoeca,Bicosoeca ainikkiae,Bicosoeca cylindrica,Bicosoeca planctonica,Bitrichia chodatii,Bodo,Botryococcus,Botryococcus braunii,Botryococcus neglectus/terribilis,Botryococcus terribilis,Carteria,Ceratium hirundinella,Chlamydocapsa planctonica,Chlamydomonadales  ,Chlamydomonas,Chlorella,Chlorophyceae,Chlorophyta,Choanoflagellida,Chromulina,Chromulinaceae,Chromulinales,Chroococcales,Chroococcus,Chroococcus minutus,Chroococcus turgidus,Chroomonas acuta,Chrysidiastrum catenatum,Chrysochromulina,Chrysochromulina parva,Chrysococcus,Chrysococcus cordiformis,Chrysolykos calceatus,Chrysolykos planctonicus,Chrysophyceae,Chrysosphaerella longispina,Chrysostephanosphaera globulifera,Closterium,Closterium aciculare,Closterium acutum var. variabile,Coelastrum astroideum,Coelastrum microporum,Coelosphaerium,Coelosphaerium kuetzingianum,Coelosphaerium minutissimum,Coscinodiscophyceae,Cosmarium,Cosmarium contractum,Cosmocladium perissum,Crucigenia quadrata,Crucigenia tetrapedia,Crucigeniella pulchra,Cryptaulax,Cryptomonas,Cryptomonas curvata,Cryptomonas marssonii,Cryptomonas obovata,Cryptomonas reflexa,Cyanocatena imperfecta,Cyanodictyon,Cyanodictyon planctonicum,Cyanophyceae,Cyclotella,Cyclotella comta,Desmodesmus,Desmodesmus brasiliensis,Dictyosphaerium s.lat.,Dictyosphaerium subsolitarium,Dinobryon,Dinobryon bavaricum,Dinobryon bavaricum var. vanhoeffenii,Dinobryon borgei,Dinobryon crenulatum,Dinobryon divergens,Dinobryon sociale,Dinobryon sociale var. americanum,Dinobryon suecicum,Dinobryon suecicum var. longispinum,Discostella stelligera,Dolichospermum,Dolichospermum curved threads,Dolichospermum flosaquae,Dolichospermum lemmermannii,Elakatothrix biplex,Elakatothrix gelatinosa,Elakatothrix genevensis,Epipyxis,Euastrum,Euastrum denticulatum,Euastrum elegans,Euglena,Euglenales,Euglenophyceae,Flagellater,Fragilaria,Fragilaria crotonensis,Fragilaria nanana,Gloeocystis,Gloeotila,Gloeotila pulchra,Golenkinia radiata,Gomphosphaeria s.lat.,Goniochloris mutica,Goniomonas truncata,Gonyostomum,Gonyostomum semen,Gymnodinium,Gymnodinium fuscum,Gymnodinium lacustre,Gymnodinium uberrimum,Gyrodinium helveticum,Gyromitus cordiformis,Gyrosigma,Haematococcus pluvialis,Isthmochloron trispinatum,Katablepharis ovalis,Kephyrion,Kephyrion boreale,Koliella,Koliella longiseta,Koliella spiculiformis,Lagerheimia,Lepochromulina calyx,Lepocinclis,Mallomonas,Mallomonas akrokomos,Mallomonas allorgei,Mallomonas allorgei/lychenensis,Mallomonas caudata,Mallomonas crassisquama,Mallomonas hamata,Mallomonas punctifera,Mallomonas tonsurata,Mallomonas tonsurata/alpina,Merismopedia,Merismopedia glauca,Merismopedia tenuissima,Merotricha capitata,Micractinium pusillum,Microcystis natans,"Monader, obestämda 3-5 µ","Monader, obestämda 5-7 µ",Monader/flagellater,Monochrysis,Monochrysis aphanaster,Monomastix,Monoraphidium contortum,Monoraphidium dybowskii,Monoraphidium griffithii,Monoraphidium komarkovae,Monoraphidium minutum,Mougeotia,Mucidosphaerium pulchellum,Nephrocytium,Nephrocytium lunatum,Nephrocytium lunatum morphotype,Oocystis,Oocystis rhomboidea,Oocystis submarina var. variabilis,Övriga,Paramastix conifera,Paraphysomonas vestita,Parvodinium goslaviense,Parvodinium inconspicuum,Parvodinium umbonatum,Pediastrum duplex,Pediastrum integrum,Peridiniales,Peridiniopsis,Peridinium,Peridinium bipes,Peridinium cinctum,Peridinium willei,Phacotus,Phacus,Phacus longicauda,Phacus tortus,Pinnularia,Plagioselmis nannoplanctica,Planktosphaeria gelatinosa,Planktothrix agardhii,Planktothrix isothrix,Polytoma,Polytoma granuliferum,Polytomella,Pseudanabaena,Pseudanabaena limnetica,Pseudokephyrion,Pseudokephyrion alaskanum,Pseudokephyrion entzii,Pseudokephyrion poculum,Pseudokephyrion tatricum,Pseudopediastrum boryanum,Pseudopedinella,Pseudopedinella tricostata,Pseudosphaerocystis lacustris,Pyramimonas,Pyrenomonadales,Quadrigula,Quadrigula closterioides,Quadrigula pfitzeri,Radiocystis,Radiocystis geminata,Rhabdoderma,Rhabdogloea smithii,Rhizochrysis,Rhizosolenia eriensis,Rhizosolenia longiseta,Rhodomonas lacustris,Romeria,Salpingoeca,Scenedesmus (sensu strictu),Scenedesmus s.lat.,Scourfieldia,Scourfieldia complanata s.lat.,Siderocelis,Snowella,Snowella atomus,Snowella fennica,Snowella septentrionalis,Sphaerellopsis,Sphaerocystis planctonica,Sphaerocystis schroeteri,Spiniferomonas,Spondylosium planum,Staurastrum,Staurastrum chaetoceras,Staurastrum longipes,Staurastrum lunatum,Staurastrum pseudopelagicum,Stauridium privum,Stauridium tetras,Staurodesmus,Staurodesmus crassus,Staurodesmus cuspidatus,Staurodesmus cuspidatus var. curvatus,Staurodesmus extensus var. joshuae,Staurodesmus mamillatus,Staurodesmus mamillatus var. maximus,Staurodesmus sellatus,Staurodesmus triangularis,Staurodesmus triangularis var. limneticus,Stelexomonas dichotoma,Stenokalyx spirale,Stephanodiscaceae,Stephanodiscus,Stephanodiscus rotula,Stichococcus,Stichogloea,Stichogloea doederleinii,Stichogloea olivacea,Synedra,Synura,Synuropsis gracilis,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria flocculosa var. asterionelloides,Tabellaria flocculosa var. flocculosa,Tabellaria flocculosa var. teilingii,Teilingia,Teilingia granulata,Telonema,Tetraëdriella jovetii,Tetraëdron caudatum,Tetraëdron minimum,Tetrastrum komarekii,Tetrastrum triangulare,Trachelomonas,Trachelomonas rugulosa,Trachelomonas volvocina,Ulnaria,Ulnaria ulna,Ulnaria ulna var. acus,Uroglena/Uroglenopsis,Urosolenia,Urosolenia eriensis,Urosolenia longiseta,Volvocales,Willea vilhelmii,Woloszynskia ordinata,Woronichinia,Woronichinia naegeliana,Xanthidium concinnum
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
